"Max Horkheimer","Jürgen Habermas"
"Max Horkheimer","Walter Benjamin"
"Max Horkheimer","Axel Honneth"
"Nicholas Wolterstorff","Kendall Walton"
"Renzo Novatore","Bruno Filippi"
"Renzo Novatore","Severino Di Giovanni"
"Renzo Novatore","Wolfi Landstreicher"
"Richard Popkin","Luciano Floridi"
"Richard Tarnas","Christopher Bache"
"Richard Tarnas","Jorge Ferrer"
"Wilfrid Sellars","John McDowell"
"Wilfrid Sellars","Robert Brandom"
"Wilfrid Sellars","Daniel Dennett"
"Wilfrid Sellars","Bas van Fraassen"
"Wilfrid Sellars","Richard Rorty"
"Wilfrid Sellars","Paul Churchland"
"Wilfrid Sellars","Mark Lance"
"Wilfrid Sellars","Ray Brassier"
"Wilfrid Sellars","James F. Conant"
"William James","Alan Watts"
"William James","Émile Durkheim"
"William James","John Dewey"
"William James","Ludwig Wittgenstein"
"William James","W. E. B. Du Bois"
"William James","Ferdinand Canning Scott Schiller"
"William James","George Santayana"
"William James","Richard Davidson"
"William James","Bill W."
"William James","Morris Raphael Cohen"
"William James","Bertrand Russell"
"William James","Edmund Husserl"
"William James","Henri Bergson"
"William James","Mordecai Kaplan"
"William James","Richard Rorty"
"William James","Hilary Putnam"
"William James","Ola Raknes"
"William James","Michael Jackson"
"William James","B. Alan Wallace"
"William James","C. West Churchman"
"Harold Arthur Prichard","H. H. Price"
"Herbert McCabe","Seamus Heaney"
"Herbert McCabe","Anthony Kenny"
"Herbert McCabe","Brian Davies"
"Herbert McCabe","Alasdair MacIntyre"
"Herbert McCabe","Terry Eagleton"
"John D. Caputo","Richard Kearney"
"John D. Caputo","Gianni Vattimo"
"John D. Caputo","James K. A. Smith"
"John D. Caputo","Merold Westphal"
"José Carlos Mariátegui","Che Guevara"
"José Carlos Mariátegui","Javier Mariátegui"
"José Carlos Mariátegui","Gustavo Gutiérrez"
"Luciano Floridi","Terrell Ward Bynum"
"Pierre Duhem","Thomas Kuhn"
"Pierre Duhem","Stanley Jaki"
"Pierre Duhem","John Worrall"
"Roderick Chisholm","Richard Taylor"
"Walter Kaufmann","Alexander Nehamas"
"Walter Kaufmann","Richard Schacht"
"Walter Kaufmann","Ivan Soll"
"Walter Kaufmann","Frithjof Bergmann"
"Georges Canguilhem","Gilles Deleuze"
"Georges Canguilhem","Pierre Bourdieu"
"Georges Canguilhem","Louis Althusser"
"Georges Canguilhem","Michel Foucault"
"Georges Canguilhem","Dominique Lecourt"
"Georges Canguilhem","François Dagognet"
